,Property.GFA...Self.Reported..ft_2.,Primary.Property.Type...Self.Selected,Weather.Normalized.Site.Energy.Use..kBtu.,Weather.Normalized.Site.Electricity..kWh.,Year.Built
115,75468,Multifamily Housing,6532361.9,360510.7,1925
116,82856,Other,10546477.4,2291278.7,1977
117,81824,Other,12325863,2147445.9,1977
118,96250,Other,896025.4,228629.3,2011
119,82633,Other,4478976.3,NA,1973
120,565000,Office,52146017.5,7356589.6,1983
121,587000,Office,58317704.2,9703493.7,1975
122,66718,Self-Storage Facility,203753.7,59716.8,2003
123,400000,Self-Storage Facility,18597805,4257439.2,1920
124,66000,Multifamily Housing,7691110.6,490621.7,1928
125,64970,Multifamily Housing,4057474.9,471192.1,1986
126,65434,Multifamily Housing,4832464.1,329132.5,1924
127,50124,Multifamily Housing,2485977.3,404824.8,1930
128,135250,Multifamily Housing,16983957.9,801737.5,1963
129,77232,Multifamily Housing,6419314.3,548624.6,2005
130,53968,Multifamily Housing,3962733.5,671492.8,2005
131,149895,Multifamily Housing,11318010.7,1647297.3,2007
132,54192,Multifamily Housing,4514007.3,444249.3,1904
133,58676,Multifamily Housing,6482577.4,709428.2,2008
134,81169,Multifamily Housing,4935652.2,855782.3,2011
135,50622,Multifamily Housing,4206703.6,193336.9,1910
136,50000,Multifamily Housing,5683120.7,221149.9,1930
137,293137,Office,26812878.6,3286167.6,1930
138,121680,Multifamily Housing,8986105.1,89256.2,1940
139,77000,Multifamily Housing,7900422,45928.9,1937
140,71620,Multifamily Housing,7235292.9,52190.9,1938
141,57036,Multifamily Housing,5496564.8,48220.6,1930
142,63000,Multifamily Housing,5090212.4,37025,1935
143,71000,Multifamily Housing,5538805.9,32226.9,1940
144,97387,Multifamily Housing,5393039.2,45089.3,1947
145,54482,Multifamily Housing,5744024.4,327969.2,1985
146,67880,Multifamily Housing,5704050.9,390337.8,1900
147,91500,Multifamily Housing,8024683.1,472457.5,1914
148,153137,Multifamily Housing,11948491.2,2065176.9,2013
149,423403,Office,24299836.5,4051115.7,1930
150,52950,Multifamily Housing,4154414.7,232773.8,1916
151,54180,Multifamily Housing,4655936,174748.3,1950
152,68160,Multifamily Housing,7828146.3,311858.8,1909
153,56100,Multifamily Housing,7482994.8,256828.1,1928
154,51456,Multifamily Housing,3985649.2,236910,1904
155,57230,Multifamily Housing,6887260,269615.3,1930
156,67987,Multifamily Housing,6131149.4,275293.7,1970
157,130548,Multifamily Housing,17198093.9,743546.9,1963
158,63325,Multifamily Housing,7275416.3,199093.2,1964
159,63700,Multifamily Housing,3487720.7,380416.3,2010
160,66600,Multifamily Housing,8700278.2,559363.7,1920
161,61500,Multifamily Housing,6484889.9,272953.2,1931
162,65000,Multifamily Housing,8539599.5,284505.5,1937
163,73000,Multifamily Housing,6585537.9,321506.4,1928
164,74978,Multifamily Housing,3021141.8,885445.9,2012
165,56778,Multifamily Housing,4976459.3,374885,1948
166,153816,Office,10420769.3,1774895.2,1981
167,103500,Hotel,11258579.3,946990.8,1990
168,120000,Hotel,15743195.7,2613784.6,2014
169,275000,Hotel,35585118.5,3427349,2013
170,458835,Multifamily Housing,41722841.2,4142024.8,1983
171,85427,Multifamily Housing,7946752.2,528217.7,1954
172,97000,Multifamily Housing,6232179.2,332621.9,1996
173,78390,Multifamily Housing,7725321.3,444444.3,1927
174,63648,Multifamily Housing,4736424.6,215098.5,1928
175,76941,Multifamily Housing,6192572.5,478920.2,2007
176,80729,Multifamily Housing,6262180.9,470070.6,2006
177,87924,Multifamily Housing,6978528.9,326705.9,1931
178,86875,Multifamily Housing,5566012.7,282161.5,1955
179,133010,Office,20278767.8,2853029.5,1930
180,54640,Multifamily Housing,4193106,188918,1912
181,59100,Multifamily Housing,5562494.7,302398.3,1929
182,119194,Multifamily Housing,10070251.4,530386.4,1928
183,79460,Multifamily Housing,7544049.6,395589,1928
184,62434,Multifamily Housing,6519683.8,590025,1900
185,96992,Multifamily Housing,9536183.8,692080.8,1929
186,59100,Multifamily Housing,5158711,184056.1,1929
187,125960,Multifamily Housing,11051947.1,555004.3,1928
188,107340,Multifamily Housing,9443073.2,415226.9,1928
189,46212,Multifamily Housing,8656748.4,358364.4,1912
190,51565,Multifamily Housing,4632347,269089.5,1963
191,51276,Multifamily Housing,4787824.6,542314.8,2012
192,62500,Multifamily Housing,4816638,215262.9,1927
193,63404,Multifamily Housing,5558308.7,382410.8,1962
194,70863,Multifamily Housing,5504812.6,298433.7,1916
195,92628,Multifamily Housing,7189205.7,329938.7,1930
196,71593,Multifamily Housing,5877365,391745.1,1926
197,66296,Multifamily Housing,5149477.9,351779.5,1926
198,61000,Multifamily Housing,4806859.3,230912.6,1948
199,54520,Multifamily Housing,4747792,242464.6,1925
200,71536,Multifamily Housing,4719388.4,187610.5,1922
201,69225,Multifamily Housing,5378867,431021.2,1916
202,59238,Multifamily Housing,4542375.8,373493.7,1920
203,59805,Multifamily Housing,879219.4,225702,1925
204,69102,Multifamily Housing,6434717,303551.5,1928
205,74890,Multifamily Housing,10683923.7,404734.6,1929
206,53200,Office,3514135.2,945626,1915
207,64416,Multifamily Housing,2201924.1,437041.6,1906
208,69927,Multifamily Housing,3492615.9,677355.1,1929
209,106500,Multifamily Housing,8563690.6,393844.4,1928
210,56552,Multifamily Housing,6078745.6,415458.7,1926
211,74900,Multifamily Housing,6499816.4,543001.2,1961
212,65615,Multifamily Housing,4860390.1,376706.5,1988
213,66000,Multifamily Housing,2277495.2,330025.9,1926
214,64143,Office,2963901.9,797237.4,1918
215,2025102,Office,167535568,38781370.1,1986
216,1485610,Office,164331637.7,21867447.5,1986
217,2577575,Office,310880263.2,44489243.1,1986
218,1537287,Office,173252260.9,27365167.9,1971
219,1071012,Office,124451260.6,27583319.7,2003
220,1593883,Office,180706632,32038502.3,1967
221,2428325,Office,257179177,35191594.5,1970
222,2346193,Office,226839438.2,42443038.1,1972
223,208000,Office,9709615.8,1280922.6,1913
224,615942,Office,67978125.8,15848608.6,1997
225,1792271,Office,140340186.2,33772159.1,1968
226,60000,Office,2155246.1,391844.2,1907
227,578605,Office,40646290.9,8120773.5,1911
228,242586,Office,58729638.9,15747470.1,1924
229,85845,Mixed Use Property,4632465,1045031.9,1912
230,166934,Office,10674492.2,1896340.8,1928
231,271431,Office,16509323.5,3459976.4,1928
232,272000,Office,15564672.8,3651543.9,1916
233,325852,Office,22081572.2,5551180.3,1950
234,193289,Office,16392151.4,3202366.6,1951
235,110000,Office,5138594.9,1076735.9,1930
236,139503,Office,8685376.3,1704101.3,1915
237,139008,Office,19165249.3,2656143.4,1928
238,130000,Office,9202289.3,2080266.1,1913
239,112080,College/University,10690244.8,2105227.6,1921
240,146865,Performing Arts,11524401.2,2097708,1906
241,69262,Hotel,7714445.6,1502823.9,2010
242,100000,Other,7571656.9,1655409.9,1903
243,22524,Other,7142340.2,943219.1,1920
244,1416719,Other,473275270.9,51824058.2,1906
245,123000,Distribution Center,3839994.5,235600,1970
246,91682,Multifamily Housing,3677197.5,676452.5,2016
247,43000,Office,1889863.6,241154.2,1996
248,56000,Non-Refrigerated Warehouse,918568.3,42828,1969
249,200189,Hotel,18452901.5,3041424.7,1966
250,54000,Multifamily Housing,3866121.2,402919.9,2012
251,55137,Multifamily Housing,6629377,191560.6,1941
252,65065,Multifamily Housing,8004602.7,429563,1924
253,79000,Multifamily Housing,5744866.4,751533.7,2009
254,88386,Multifamily Housing,10621238.8,375020.7,1930
255,75133,Multifamily Housing,7306361.6,310518.5,1936
256,70296,Multifamily Housing,6291841.3,303743.7,1928
257,59280,Multifamily Housing,8824880.4,406127.2,1920
