,Property.GFA...Self.Reported..ft_2.,Primary.Property.Type...Self.Selected,Weather.Normalized.Site.Energy.Use..kBtu.,Weather.Normalized.Site.Electricity..kWh.,Year.Built
3373,69200,Senior Care Community,10523184.8,1185309.6,1969
3374,65700,Residence Hall/Dormitory,8125577.1,1044282.2,1920
3375,105654,Multifamily Housing,10991484.5,392419.5,1926
3376,225990,Multifamily Housing,19142114.5,1141686.1,1960
3377,55301,Multifamily Housing,5240868.7,185373.1,1940
3378,172390,Non-Refrigerated Warehouse,10706361.8,939419,1900
3379,425915,Non-Refrigerated Warehouse,11682308.1,492723.9,1949
3380,112690,Non-Refrigerated Warehouse,8653342.9,1221735.2,1931
3381,100010,Non-Refrigerated Warehouse,8950795.1,577351.4,1945
3382,366021,Multifamily Housing,40254170.6,2365514.3,1969
3383,62990,Medical Office,35527912.3,4267609.8,1968
3384,85990,Office,31190891.8,997517.7,1927
3385,89990,Multifamily Housing,9338074.3,510130.7,1960
3386,87990,Multifamily Housing,7684258.9,344546.9,1928
3387,91990,Multifamily Housing,6110574,214403.1,1930
3388,76259,Multifamily Housing,6340074,477646.5,2005
3389,455819,Multifamily Housing,37407077.7,8182269.6,1975
3390,62886,Residence Hall/Dormitory,7995212.6,848960.1,1931
3391,53490,Medical Office,6522459.7,1176212.3,1985
3392,115766,Multifamily Housing,11739524.4,1271442.1,1961
3393,234000,Parking,4335871.4,592691.9,1993
3394,68952,Hospital (General Medical & Surgical),51203902.2,2017710.1,1931
3395,113270,Office,8534328.2,570957.1,1987
3396,53275,Office,1771828,286805.3,1959
3397,673910,Multifamily Housing,43275895.5,4258553,1970
3398,617570,Hospital (General Medical & Surgical),153360155.4,13319925.7,1957
3399,312490,Parking,1145025.1,335587.6,1985
3400,137200,Hospital (General Medical & Surgical),23603050.9,2952663.7,1929
3401,68605,Multifamily Housing,4728523.2,235742.8,1926
3402,53860,Multifamily Housing,9131807.3,71364,1922
3403,52200,Multifamily Housing,3977678.3,241597.3,1923
3404,59422,Multifamily Housing,6486614.1,319828.4,1910
3405,128184,Multifamily Housing,9790487.8,559485.3,1925
3406,82530,Multifamily Housing,4536189.1,604288.4,2012
3407,70660,Multifamily Housing,7339616,355151.1,1937
3408,146525,Multifamily Housing,9064154,501538.2,1969
3409,330236,Office,33781285.1,4323083.5,1962
3410,68764,Multifamily Housing,7274635.1,540591.4,1904
3411,81865,Multifamily Housing,6087115.5,752819.3,1900
3412,79098,Medical Office,11279986.3,2664366.7,1992
3413,55600,Multifamily Housing,5759789.6,231842,1928
3414,111756,Non-Refrigerated Warehouse,3574595.7,313743.9,1940
3415,151238,Multifamily Housing,16412474.6,611521.3,1915
3416,53900,Multifamily Housing,5232804.5,58349.8,1935
3417,117000,Multifamily Housing,17747358.7,1217461.8,1990
3418,123910,Multifamily Housing,14131069.7,1030383.1,1988
3419,66600,Multifamily Housing,10633772.2,212461.3,1918
3420,275000,Multifamily Housing,22773877.2,1156244.4,1955
3421,89615,Multifamily Housing,22584473.4,676272.9,1963
3422,127163,Multifamily Housing,11149259.4,471344.3,1957
3423,63113,Multifamily Housing,3552333.6,252256.8,1954
3424,88530,Multifamily Housing,7381003.7,383180.2,1962
3425,89412,Multifamily Housing,5374747.1,314314.7,1961
3426,53077,Office,4185918.8,910498.2,1991
3427,67800,Multifamily Housing,6369829.4,408821.2,1929
3428,55143,Multifamily Housing,5408927,277142,1910
3429,222000,Multifamily Housing,29261176.3,1110897.5,1961
3430,66033,Multifamily Housing,4110165.5,226257.9,1914
3431,91221,Multifamily Housing,7541166.6,419673.4,1924
3432,42863,Multifamily Housing,3094760.6,304243.1,1926
3433,47832,Multifamily Housing,4953241.7,245924.1,1910
3434,293808,Multifamily Housing,24274031.2,1476855.6,1981
3435,159146,Multifamily Housing,11814564,758669.2,1982
3436,75116,Multifamily Housing,5239967,283421,1927
3437,52926,Multifamily Housing,5792499,346222.6,1925
3438,96722,Multifamily Housing,7381037.6,430388,1927
3439,152204,Multifamily Housing,8406202.8,346097,1937
3440,72000,Multifamily Housing,6748366.9,304587.6,1936
3441,124800,Multifamily Housing,7845905.2,457534.7,1964
3442,63600,Multifamily Housing,7691828.8,308568,1956
3443,58000,Multifamily Housing,6333402.8,211274.7,1920
3444,57000,Multifamily Housing,5999402.9,299932.6,1950
3445,66600,Multifamily Housing,5700503.7,236081.5,1954
3446,64800,Multifamily Housing,5544813.9,277468.1,1935
3447,64716,Multifamily Housing,5486423.9,235529.8,1931
3448,64716,Multifamily Housing,6070790.7,254874.5,1931
3449,93000,Multifamily Housing,4803930.7,337833.8,1928
3450,63150,Retail Store,1912376.7,386362.6,1986
3451,69441,Multifamily Housing,6593532.2,320241.4,1937
3452,57653,Office,4134724.7,564918.3,1913
3453,140970,Multifamily Housing,20082384.6,2092795.1,2005
3454,126343,Multifamily Housing,11870778.4,1017423.1,2007
3455,312586,Multifamily Housing,12469293.5,3028952.4,2007
3456,243012,Multifamily Housing,20053536.8,2418163.7,2003
3457,210440,Multifamily Housing,16285479.1,2497464.4,2009
3458,251047,Multifamily Housing,27312084.5,1958742.1,2007
3459,522805,Multifamily Housing,31038760.5,2651158.4,2013
3460,255961,Multifamily Housing,20286229.4,3424059,2000
3461,322505,Multifamily Housing,34921846.5,3024530.3,2005
3462,304567,Multifamily Housing,32025782.7,4316688.8,2008
3463,582381,Multifamily Housing,43068227.6,4445119.3,2006
3464,228309,Multifamily Housing,16736321.7,1351038.8,2013
3465,343534,Multifamily Housing,35928863.4,4591723.3,2001
3466,242953,Multifamily Housing,17259797.5,1477179.7,2008
3467,235470,Multifamily Housing,14028229.2,2582347.2,2008
3468,195000,Multifamily Housing,20429555,2927080.1,2008
3469,131900,Multifamily Housing,12079343.2,720304.5,1981
3470,96774,Multifamily Housing,11350075.5,682867.7,1997
3471,52850,Multifamily Housing,3320799.9,298142,1925
3472,115000,Multifamily Housing,14174488.4,744636.4,1997
3473,132444,Multifamily Housing,8761664.6,690859.4,1946
3474,83900,Multifamily Housing,7747411.2,413281.6,1931
3475,145398,Multifamily Housing,13878940.9,1097282.9,1931
3476,63210,Multifamily Housing,3965080.6,423043.9,2011
3477,75000,Multifamily Housing,5734125.1,251448.1,1910
3478,631108,Multifamily Housing,59812812.8,3666915.9,1971
3479,53123,Multifamily Housing,10170434.9,743992.9,1950
3480,61250,Multifamily Housing,12284113.1,452088.1,1910
3481,76626,Multifamily Housing,9448133.7,455494,1915
3482,143554,Multifamily Housing,9154714.2,622708.2,1925
3483,56000,Office,6603216.7,921516.1,1907
3484,80281,Multifamily Housing,7223406.5,325963.8,1929
3485,58260,Multifamily Housing,7822596.4,416071.7,1925
3486,148793,Multifamily Housing,16169061.7,621262.2,1937
3487,97290,Multifamily Housing,10898772.9,779041.2,1900
3488,77426,Multifamily Housing,5074581.8,341596.8,1928
3489,77820,Multifamily Housing,10812753.9,357240.6,1927
3490,65522,Multifamily Housing,4963563.5,276500.1,1900
3491,127000,Office,14429310.1,1706394.1,1922
3492,527605,Office,31622194.3,6299436.2,1911
3493,65040,Multifamily Housing,8159894.5,375809.4,1927
3494,70500,Multifamily Housing,7466185.2,306591,1939
3495,54000,Multifamily Housing,7249573.2,240677.6,1929
3496,66750,Multifamily Housing,6274554.1,259917.8,1925
3497,97846,Multifamily Housing,11434804.2,562946.4,1927
3498,97000,Multifamily Housing,8412608.7,347845,1929
3499,54500,Office,1469393.6,281115.8,1931
3500,65000,Multifamily Housing,7723124,456621.8,1959
3501,54627,Multifamily Housing,3193774.8,262181.4,1970
3502,54976,Multifamily Housing,4225948.7,244610.9,1924
3503,52239,Multifamily Housing,5370876.9,364970,1985
3504,73878,Multifamily Housing,3129618.5,307437.6,1929
3505,182980,Multifamily Housing,10661387.8,880462.8,1923
3506,64021,Medical Office,5097740.9,685726.5,1930
3507,230654,Hotel,18771043.4,4979498.4,1926
3508,69725,Hotel,6715718.7,1595199.7,1925
3509,58340,Office,3538238.9,488309.6,1912
3510,467469,Multifamily Housing,54043451.6,1592443.7,1931
3511,112000,Multifamily Housing,9848457.8,666778.8,1987
3512,42435,Multifamily Housing,5529653.7,262489.3,1927
3513,295740,Multifamily Housing,21158064.9,1636356.7,2011
3514,59220,Multifamily Housing,7599201.9,290723.9,1926
3515,104278,Multifamily Housing,7837296.1,551440.2,2007
3516,55200,Multifamily Housing,5259623.7,213987.4,1931
3517,84745,Multifamily Housing,6235461.9,517490.9,2011
3518,121022,Multifamily Housing,8324776.3,568307.5,2011
3519,165838,Multifamily Housing,13458544,973841.9,2005
3520,75256,Multifamily Housing,7151825.1,818594.8,2008
3521,117594,Multifamily Housing,9938395.5,533117.1,1963
3522,103215,Multifamily Housing,6774970.2,285708.1,1957
3523,108570,Multifamily Housing,8314326.3,371121.9,1964
3524,83200,Multifamily Housing,6789910,316661.3,1953
3525,86730,Multifamily Housing,5130372.7,202450.2,1932
3526,212433,Multifamily Housing,17148631.7,741844.7,1955
3527,87075,Multifamily Housing,7520588.5,554214.2,1983
3528,273000,Multifamily Housing,22816230.2,1720929,1963
3529,228930,Multifamily Housing,12241952.8,687980.2,1959
3530,120638,Multifamily Housing,5397597.6,1138095.6,2007
3531,66926,Multifamily Housing,4162674.1,518448.5,2008
3532,352360,Multifamily Housing,32240712.4,2095800.6,1961
3533,83750,Multifamily Housing,6170962.1,393841.8,1956
3534,80437,Multifamily Housing,5713294.7,212062.4,1936
3535,119315,Multifamily Housing,14454094.2,685576.6,1920
3536,92225,Multifamily Housing,4959466.8,325037.4,1929
3537,66000,Office,8498265.7,1496062.4,1908
3538,89970,Multifamily Housing,6045003.1,438830.8,1910
3539,162378,Multifamily Housing,12305623.9,1260812.7,1962
3540,185471,Multifamily Housing,7148426,696143.3,1963
3541,172997,Multifamily Housing,17526575.8,1689903.7,1986
3542,292061,Office,20384747.4,4075497.5,1925
3543,69654,Multifamily Housing,4915133.9,230853.2,1941
3544,76770,Multifamily Housing,5077844.6,193801.1,1926
3545,97656,Multifamily Housing,8608412.8,347452.5,1940
3546,288990,Multifamily Housing,16527738.1,1249561.8,1962
3547,94050,Multifamily Housing,6423918.3,285148.4,1957
3548,159572,Senior Care Community,16711448.4,1639947.9,2000
3549,59479,Senior Care Community,9988057.2,982371,1968
3550,111435,Multifamily Housing,6009410.2,348461.5,1982
3551,239702,Multifamily Housing,18802643.3,1287049.4,1980
3552,58010,Multifamily Housing,4637310.2,443077.4,1925
3553,58010,Multifamily Housing,3407845.9,333416.1,1925
3554,92590,Multifamily Housing,10130018.7,456381.8,1927
3555,60890,Multifamily Housing,4838592.3,340818.6,1931
3556,120560,Multifamily Housing,11399418.3,772641.2,1988
3557,96170,Multifamily Housing,10154823.5,572048.8,1927
3558,163590,Multifamily Housing,14844532.5,662891.2,1924
3559,181510,Multifamily Housing,18330319.7,1163591.7,1982
3560,96980,Multifamily Housing,10365642.8,810720.4,1978
3561,60330,Supermarket/Grocery Store,12245857.7,2597254.8,1931
3562,94139,Strip Mall,8268728.8,227587.4,1931
3563,97180,Other,5857128.2,669168.4,1900
3564,59728,Multifamily Housing,5439904,236418.2,1930
3565,104914,Multifamily Housing,9226970.8,514477.8,1929
3566,97030,Multifamily Housing,1501090.8,439944.5,1958
3567,105070,Multifamily Housing,8904909.2,469381.1,1927
3568,62001,Retail Store,7182785.9,1341567.8,1941
3569,70500,Multifamily Housing,6776516.4,64302.9,1928
3570,51400,Multifamily Housing,3941689.2,28722.3,1927
3571,80596,Multifamily Housing,8161432.4,40311,1942
3572,59330,Multifamily Housing,6230138.1,446744.5,1920
3573,54490,Multifamily Housing,4447194.9,273242.1,1938
3574,57380,Multifamily Housing,6237323.2,285846.3,1935
3575,70780,Multifamily Housing,6297822.7,522564,1941
3576,85750,Multifamily Housing,7387418,386454.7,1928
3577,107658,Senior Care Community,19139237.7,618064.4,1977
3578,81930,Non-Refrigerated Warehouse,4607031.9,1192454.9,1966
3579,275506,Other,72332477.8,9026385.5,1999
3580,380775,Office,31789152.5,5131098.1,1922
3581,269231,Office,27548712.9,5302521.1,1913
3582,280000,Office,37829241.7,6541276.1,1952
3583,795168,Office,143740010.5,23609876.7,1958
3584,407127,Office,21706404.8,3560084.3,1926
3585,575860,Office,45032280.5,9681158,1987
3586,139763,Office,12422904.3,3276308.7,1900
3587,139895,Office,8315917.4,1476599.7,1903
3588,121490,Enclosed Mall,14361645.1,3101260.1,1949
3589,67925,Hospital (General Medical & Surgical),10288688.3,218182.5,1969
3590,546365,Hospital (General Medical & Surgical),114937447.6,13173001.2,1903
3591,73262,Multifamily Housing,5792300,271185.7,1920
3592,107210,Multifamily Housing,8396654.4,353128.3,1927
3593,74924,Multifamily Housing,6175377.5,378361,1925
3594,108490,Office,12864092.6,2771829.6,1999
3595,217958,Office,16701555.4,3797250.4,1900
3596,80263,Multifamily Housing,8916523,339761.1,1915
3597,126785,Multifamily Housing,7820520.3,476185.1,1911
3598,79482,Multifamily Housing,8783801.9,347990,1925
3599,55535,Multifamily Housing,4128953.7,203057.6,1951
3600,208345,Multifamily Housing,15127580.3,674690.5,1951
3601,69645,Multifamily Housing,9896739.6,539980.9,1927
3602,86819,Multifamily Housing,5662122.2,366073.4,1930
3603,87129,Multifamily Housing,4614777.8,347950.8,1930
3604,146616,Multifamily Housing,7714083.1,383942,1950
3605,58560,Multifamily Housing,4679330.4,187320,1926
3606,72816,Multifamily Housing,6711038.1,301002.1,1955
3607,96058,Multifamily Housing,6852319.5,627410.6,1923
3608,263040,Multifamily Housing,17940778.7,1017594.7,1925
3609,211041,Multifamily Housing,10827144.2,754037.9,1940
3610,53098,Multifamily Housing,4954775.8,201895.5,1926
3611,106763,Multifamily Housing,6286269.4,342970.7,1924
3612,66650,Multifamily Housing,10440927.2,775084.1,1901
3613,100042,Multifamily Housing,7065210,407931.2,1923
3614,172176,Multifamily Housing,9655282.2,666028.7,1927
3615,161422,Multifamily Housing,14910232.6,1202863.2,1925
3616,248962,Multifamily Housing,18862956.4,1024132.7,1931
3617,114696,Multifamily Housing,8866876.9,471725.3,1926
3618,73764,Multifamily Housing,9016946.2,770774.8,1900
3619,83710,Multifamily Housing,7902707.4,285952.2,1937
3620,110150,Multifamily Housing,8137148.2,415561.6,1979
3621,56522,Multifamily Housing,3828987.6,149362.8,1910
3622,86411,Multifamily Housing,7409132.8,407031.5,1928
3623,78078,Multifamily Housing,1478199.2,397391.3,1929
3624,60490,Multifamily Housing,5116145.1,212553.9,1940
3625,54518,Multifamily Housing,5711553.7,207099.8,1920
3626,53990,Multifamily Housing,5509281.2,238632.5,1941
3627,59216,Multifamily Housing,6387136.6,239050.1,1920
3628,70210,Multifamily Housing,8711180.2,309277.2,1928
3629,68240,Multifamily Housing,6318970.3,291537.9,1951
3630,54590,Multifamily Housing,4868176.4,309289.6,1941
3631,58046,Multifamily Housing,4911202.3,248236.4,1940
3632,63566,Multifamily Housing,5821674,332088.4,1962
3633,86588,Multifamily Housing,5609553.4,295102.6,1931
3634,59990,Multifamily Housing,6483361.9,399709,1963
3635,65444,Multifamily Housing,5772594.3,270705.9,1935
3636,91760,Multifamily Housing,6588317.9,350640.2,1931
3637,65182,Multifamily Housing,5531890,266061.8,1937
3638,54810,Multifamily Housing,6314869.3,455118.9,1915
3639,54170,Multifamily Housing,5527251.5,40086.6,1927
3640,125150,Multifamily Housing,10321502.9,454298.6,1962
3641,89990,Multifamily Housing,9717340.5,406401.4,1962
3642,50731,Multifamily Housing,4398708,191578,1961
3643,70752,Office,6923338.5,1034093.4,1913
3644,63098,Multifamily Housing,6563674,265760.8,1900
3645,107490,Multifamily Housing,7827776.3,428504.9,1927
3646,59290,Multifamily Housing,6247507.3,257388.7,1922
3647,52940,Multifamily Housing,5135901,265085.9,1920
3648,63790,Multifamily Housing,6747519.1,416049.4,1940
3649,54644,Multifamily Housing,8954444.8,323389.2,1930
3650,70423,Multifamily Housing,8210489.5,317110.9,1927
3651,63090,Multifamily Housing,7913567.3,327927.6,1937
3652,62726,Multifamily Housing,5759333.9,294574.4,1915
3653,53366,Multifamily Housing,6634916.4,248708.9,1926
3654,59264,Multifamily Housing,5555484.4,224373.7,1922
3655,125835,Senior Care Community,17017672.4,1680620.9,2006
3656,80898,Multifamily Housing,4820457.3,234115.9,1924
3657,73544,Multifamily Housing,3902420.2,198790.3,1920
3658,68727,Multifamily Housing,8089574.2,687915.7,1923
3659,57714,Multifamily Housing,10870775.6,263298.7,1917
3660,128664,Multifamily Housing,8949112.5,578558.9,1899
3661,214700,Multifamily Housing,23424805.1,576217.4,1929
3662,99680,Multifamily Housing,8077738.7,349004.1,1939
3663,89445,Multifamily Housing,5731937.2,364357.3,1937
3664,160566,Multifamily Housing,10134497.1,499330.3,1956
3665,68132,Multifamily Housing,5452920.8,265305,1928
3666,60675,Multifamily Housing,4413938.6,214617.7,1937
3667,68000,Multifamily Housing,3914874,396052.5,1938
3668,97485,Multifamily Housing,8575379.9,393703.7,2006
3669,73040,Multifamily Housing,5110721.2,273959.5,1924
3670,59518,Multifamily Housing,4643678,197840,1938
3671,107258,Multifamily Housing,5388095.8,384089.5,1935
3672,139490,Multifamily Housing,5608507.2,408243,1928
3673,70616,Multifamily Housing,4332356.5,220311.1,1938
3674,55000,Medical Office,874165.1,109660.9,1970
3675,111990,Multifamily Housing,7432796.2,394523.5,1931
3676,70190,Multifamily Housing,6671870.8,363139.2,1959
3677,129116,Multifamily Housing,8792695.3,471415.2,1926
3678,64970,Multifamily Housing,5960454.1,209719.1,1939
3679,87655,Multifamily Housing,1728422.9,325680.8,1927
3680,85000,Multifamily Housing,1971960.3,359100,1963
3681,121255,Multifamily Housing,11966068.1,667237.6,1965
3682,374660,Office,11746512.9,3047102.6,1909
3683,185775,Hotel,25097408.3,3799802.6,1904
3684,83288,Office,6437999.3,567994.6,1915
3685,66528,Office,4397075.8,567289.9,1911
3686,75990,Retail Store,9067625.7,1348850.7,1973
3687,52570,Office,3554795.8,464328.3,1925
3688,184050,Senior Care Community,17784911.3,1227559,1923
3689,795215,Multifamily Housing,67839110.3,6136255.9,2000
3690,100840,Multifamily Housing,7976890.4,720023.2,1918
3691,519832,Hotel,69625479.8,8368458.9,1960
3692,507707,Multifamily Housing,43280468.5,3045739.6,1999
3693,447049,Multifamily Housing,35822830.6,3820524.9,2004
3694,863455,Multifamily Housing,57908625.2,7076656.6,2000
3695,1155995,Office,72274048.8,13729106.8,1929
3696,740377,Multifamily Housing,57391386.6,4495357.3,1999
3697,307398,Multifamily Housing,24532305.4,3355306.1,2002
3698,805842,Multifamily Housing,71017869.2,12460069.4,1983
3699,469910,Multifamily Housing,29952987.6,3087323.2,1930
3700,47381,Other,3148487.2,749498.2,1939
3701,288500,Multifamily Housing,21500228.3,1389286.2,1959
3702,404100,Multifamily Housing,45701282,2276084,1962
3703,62790,Multifamily Housing,6152869.9,185728.8,1933
3704,51182,Multifamily Housing,7748591.3,405029.1,1926
3705,53990,Multifamily Housing,5267578.9,147026,1931
3706,100800,Office,6745908.1,1183664.3,1908
3707,83104,Office,5668321,523156.9,1908
3708,78500,Retail Store,4879964.8,1063960.6,1955
3709,63000,Non-Refrigerated Warehouse,6312820.6,623574.9,1930
3710,83704,Other,7646166.8,951354.5,1961
3711,101004,Office,8325833.6,1304956.9,1906
3712,101280,Office,10625495.1,1664358.7,1925
3713,300700,Office,22083817.6,3665995.6,1929
3714,69096,Multifamily Housing,8193986.6,322573,1931
3715,56000,Other,1449342.6,7022.6,1944
3716,122640,Multifamily Housing,12781597.8,540238,1959
3717,62250,Multifamily Housing,4076487.7,163346.8,1929
3718,101088,Multifamily Housing,8237625,522301.9,1929
3719,106522,Mixed Use Property,12910093.8,2112031.1,2007
3720,608750,Mixed Use Property,82052489.8,9341142.4,2007
3721,270366,Mixed Use Property,29994256.2,4714691,2007
3722,128196,Multifamily Housing,14971892.6,2326230.9,2007
3723,155290,Multifamily Housing,15846120.7,496211,1962
3724,233437,Multifamily Housing,13404507.2,776086.3,1961
3725,265383,Multifamily Housing,6533282.6,1402134.2,1974
3726,333123,Multifamily Housing,26346924.3,1308899.3,1963
3727,162306,Multifamily Housing,12379780.4,683686.5,1920
3728,141857,Multifamily Housing,21850189.5,519631.7,1948
3729,59450,Multifamily Housing,4426291.8,468776,2006
3730,96432,Multifamily Housing,7840399.4,176428,1963
3731,123380,Multifamily Housing,11473234.2,579837.2,1962
3732,148066,Multifamily Housing,5616879,544536.9,1958
3733,128637,Multifamily Housing,2747215.6,620959.9,1960
3734,149414,Multifamily Housing,16588007.1,646823.5,1962
3735,94342,Multifamily Housing,2157276.3,511404.7,1963
3736,74880,Multifamily Housing,7430477.4,213775,1941
3737,69387,Multifamily Housing,6451496.8,209932.4,1937
3738,64156,Multifamily Housing,4978326.8,265285.3,1958
3739,51175,Multifamily Housing,5148643.2,398975.4,2001
3740,67432,Multifamily Housing,3495160.4,361417.6,2006
3741,68134,Multifamily Housing,6038112.6,205981.7,1938
3742,104090,Multifamily Housing,10753707.1,506898.8,1939
3743,125216,Multifamily Housing,12692440.7,590038.7,1953
3744,59975,Multifamily Housing,5747858.6,271673.1,1960
3745,197336,Multifamily Housing,18868570.9,423999.9,1965
3746,88938,Multifamily Housing,7935517.7,273892.2,1939
3747,87147,Multifamily Housing,8597624.7,342170.8,1961
3748,151200,Multifamily Housing,12132275.3,576135.9,1963
3749,73750,Multifamily Housing,4831445.7,457260.1,1965
3750,87300,Multifamily Housing,6330482.6,609376.1,2009
3751,85923,Multifamily Housing,16284354.4,328012.9,1959
3752,77700,Multifamily Housing,8713651.7,380908.5,1963
3753,60000,Multifamily Housing,4010524.1,227188.2,1936
3754,62700,Office,3286753,466106,1904
3755,122813,Multifamily Housing,8422881.9,937422.4,1925
3756,158617,Multifamily Housing,17057184.8,1309776.7,1906
3757,110000,Multifamily Housing,7503764.5,545146.2,1915
3758,1100000,Courthouse,49043970.4,4817796.1,2005
3759,81000,Other,11296020.7,138341.3,1925
3760,209525,Multifamily Housing,15715701.8,1667032,2000
3761,165906,Multifamily Housing,21107484.2,2030574.7,2000
3762,73245,College/University,4914350,1353196.6,2009
3763,116702,Multifamily Housing,9141385.7,1336777.5,2010
3764,74178,Multifamily Housing,10185547.4,822119.6,1991
3765,98524,Multifamily Housing,1521109.8,445811.7,1965
3766,66000,Other,478107,140125.1,1963
3767,57624,Multifamily Housing,849223.8,248893.2,1960
3768,79328,Multifamily Housing,6491892.6,244046.4,1940
3769,106166,Multifamily Housing,8529483.3,313077.8,1939
3770,60517,Multifamily Housing,4407884.5,188913.1,1936
3771,61159,Multifamily Housing,4413683.8,168224.5,1936
3772,270410,Multifamily Housing,19955046.8,1568388.1,2002
3773,111861,Multifamily Housing,13807840.8,776291.6,1961
3774,91366,Multifamily Housing,7857054.2,1205095.4,2013
3775,64350,Other,5913021.3,1243241.9,1920
3776,115668,Multifamily Housing,5516276.5,546562.9,2008
3777,149953,Enclosed Mall,29653241.3,4819187.5,2001
3778,175748,Office,13063915.4,3144246.8,1958
3779,89434,Parking,4434292.7,1037776.2,2001
3780,91140,Office,3159007,925851.9,1913
3781,84600,Multifamily Housing,7450646.8,270227.5,1910
3782,111230,Multifamily Housing,6327277.7,307150.9,1937
3783,63350,Multifamily Housing,4541737,193734.4,1924
3784,90961,Multifamily Housing,1654411.2,366415.9,1946
3785,96238,Multifamily Housing,8827952.8,491236.4,1928
3786,91080,Multifamily Housing,7571582.4,328137.5,1930
3787,56300,Multifamily Housing,3947413.9,154562.2,1931
3788,65100,Multifamily Housing,5848935.2,450059.1,1921
3789,111670,Multifamily Housing,9236796.5,395137.9,1963
3790,60400,Multifamily Housing,4260207.1,247456.3,1926
3791,67300,Multifamily Housing,5607364.9,241183.2,1926
3792,53400,Multifamily Housing,5465290.7,331744,1925
3793,65780,Multifamily Housing,4671817.1,NA,1938
3794,56876,Multifamily Housing,6713831.7,676115.8,2008
3795,257076,Multifamily Housing,21575955.8,1065619.8,1962
3796,1463865,Multifamily Housing,346794556,8907315.8,1960
3797,346072,Multifamily Housing,37137184.3,1222312.7,1962
3798,165113,Multifamily Housing,12429015.9,1162735.3,2001
3799,95000,Non-Refrigerated Warehouse,5509842.6,375873,1970
3800,58700,Multifamily Housing,4480387,679423.4,2007
3801,66500,Multifamily Housing,4806479.9,173606.3,1927
3802,97779,Multifamily Housing,8580643.7,361429.7,1963
3803,90432,Multifamily Housing,9154156.2,535160.6,1964
3804,55923,Multifamily Housing,4096247.4,67709.6,1931
3805,60174,Multifamily Housing,5460004.4,367378.2,1964
3806,62814,Multifamily Housing,4955061.8,37794,1941
3807,57600,Multifamily Housing,3614929.6,174318.4,1935
3808,117366,Multifamily Housing,8553362.1,415317.2,1937
3809,84000,Multifamily Housing,5790000.6,253729.2,1931
3810,112356,Multifamily Housing,8521751.5,575175.8,1962
3811,60300,Multifamily Housing,5162053.5,210112.1,1938
3812,57456,Multifamily Housing,4476924.3,322295.6,1964
3813,75000,Multifamily Housing,7016766.8,338490.4,1928
3814,104646,Multifamily Housing,9256363.3,486356.5,1938
3815,50220,Multifamily Housing,4959233,124713.9,1941
3816,54878,Multifamily Housing,5495462.4,255732.5,1929
3817,75600,Multifamily Housing,5181742.5,248026.5,1931
3818,55680,Multifamily Housing,5017127.5,196684.3,1930
3819,69782,Multifamily Housing,4992318.8,210631.9,1931
3820,65984,Multifamily Housing,5962854.2,218738.7,1936
3821,75798,Multifamily Housing,6649912.3,416410.5,1931
3822,66000,Multifamily Housing,4281245,200262.4,1922
3823,107175,Multifamily Housing,9424850.6,499206.1,1938
3824,61130,Multifamily Housing,5563160.4,327439.9,1964
3825,88740,Multifamily Housing,7380970.3,348771.7,1922
3826,53700,Multifamily Housing,3709356.1,156064.3,1941
3827,58800,Multifamily Housing,3704722.7,54391,1941
3828,426056,Office,18372843.1,3772603.4,1988
3829,129465,Office,8855293.9,1555777.5,1920
3830,77483,Multifamily Housing,6849533.7,655405.7,2008
3831,78066,Office,9833121.9,1474913.7,1900
3832,144375,Multifamily Housing,5040150.2,1260389.7,1990
3833,68515,Multifamily Housing,7044737.2,519169.4,1927
3834,176955,Multifamily Housing,9007767.5,377117,1952
3835,60750,Multifamily Housing,3456591,160643.1,1985
3836,84000,Multifamily Housing,10880183.7,341245.3,1962
3837,122057,Multifamily Housing,10770327.7,782585.4,1964
3838,130074,Multifamily Housing,8476432.1,381652,1935
3839,61743,Multifamily Housing,4246481.3,235270.6,1957
3840,117918,Multifamily Housing,8662149,1177056.7,2006
3841,53340,Multifamily Housing,6097114,219045.9,1963
3842,60701,Multifamily Housing,4578871.4,241781,1987
3843,56322,Multifamily Housing,4301696.8,115477.8,1937
3844,75600,Multifamily Housing,7795843,249270.1,1937
3845,65308,Multifamily Housing,7252992.6,746216.9,2006
3846,90120,Multifamily Housing,8039120.9,926274,1921
3847,262655,Hospital (General Medical & Surgical),70903594.7,6968191.1,1952
3848,55000,Non-Refrigerated Warehouse,705642.8,169365.6,1900
3849,66000,Multifamily Housing,6298053.7,395701.2,1929
3850,52000,Multifamily Housing,4284574,229094.7,1923
3851,148000,Multifamily Housing,11177151.4,579626.6,1926
3852,55192,Multifamily Housing,3529422,360421.3,1920
3853,52000,Office,5139360.4,832948.7,1900
3854,55000,Multifamily Housing,3567244.6,97307.6,1913
3855,54600,Multifamily Housing,4253228.9,249547,1925
3856,67019,Multifamily Housing,3566326.3,359182.1,1965
3857,122406,Multifamily Housing,8164967.6,662038.6,1929
3858,55332,Multifamily Housing,3745312.3,222298.1,1950
3859,88000,Multifamily Housing,4995906.6,407491.3,1903
3860,52000,Multifamily Housing,3406599.4,213353.9,1929
3861,51479,Multifamily Housing,4145063,440611.2,1935
3862,59718,Multifamily Housing,6426838.3,263598.5,1930
3863,59050,Multifamily Housing,4923948.7,86277,1910
